year,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,ht_trendline,kama10,kama20,kama30,sar,trima5,trima10,trima20,adx5,adx10,adx20,apo,cci5,cci10,cci15,macd510,macd520,macd1020,macd1520,macd1226,mom10,mom15,mom20,roc5,roc10,roc20,ppo,rsi14,rsi8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ultosc,willr,atr,trange,typprice,ht_dcperiod,beta,company,average
2017,122.0683128,122.3119283,121.8217186,122.0699049,94440.39988,122.0602422,122.0480728,122.0358599,122.0236176,122.0602236,122.0480388,122.0358235,122.0235961,122.5800021,122.0602422,121.5404822,122.0208298,122.0433855,122.0345307,122.0247828,803.9,122.0602485,122.0480853,122.0236483,41.74119632,31.04938926,23.53620872,0.034260357,-3.279505287,-2.63969169,-0.957969194,0.012184807,0.036627519,0.024442711,0.012227373,0.03424199,0.048643097,0.073234944,0.097645691,0.024320705,0.048956672,0.099317835,0.029757234,50.51249776,50.1648262,49.1207819,49.12382427,49.11708589,49.1207819,48.15760837,48.16044346,50.18327804,-50.89079693,0.498160985,0.498275489,122.0678506,21.34066585,0.439551798,ADANIENT,183.2227876
2018,161.4946264,161.9057817,161.088589,161.4975676,133025.7408,161.4981308,161.4988744,161.4996668,161.5004477,161.4981411,161.4988943,161.4996495,161.5003961,162.3657197,161.4981308,160.6305419,161.4993226,161.480792,161.4984124,161.5055786,803.9,161.4981302,161.4988643,161.5004407,41.25801247,30.6217811,23.42064718,-0.002136973,-2.717613385,-2.214494694,-1.861780982,-0.000753216,-0.002255045,-0.001501828,-0.000746653,-0.00207724,-0.003020079,-0.004652555,-0.006004789,0.004824366,0.009228061,0.017224098,-0.001057545,50.07384192,49.92387573,49.02376205,49.02223415,49.02432998,49.02376205,48.64660013,48.64682634,49.76094581,-50.93426717,0.831720008,0.831650977,161.4973128,21.25299002,0.510262035,ADANIENT,242.4500762
2019,152.4697105,152.793905,152.1443337,152.4655789,72276.8225,152.4604287,152.4539525,152.4473985,152.4408176,152.4604173,152.4539059,152.4473618,152.4408102,153.1275611,152.4604287,151.7932964,152.4409751,152.4559115,152.4424545,152.4382911,803.9,152.4604293,152.453971,152.4408551,40.93078607,30.25286307,22.57544449,0.018402897,-1.22920608,-0.942426488,-0.652154283,0.006511333,0.019607057,0.013095724,0.006551624,0.018336599,0.026013108,0.039210814,0.052416712,0.009585853,0.019211847,0.039001503,0.010084847,49.88816032,49.82452901,49.12275754,49.12404901,49.12225383,49.12275754,49.38144642,49.38144642,49.5474985,-51.2364058,0.655735727,0.65583834,152.4679392,21.55678435,0.498586729,ADANIENT,228.8660718
2020,240.9193426,241.4843033,240.346495,240.9280559,70782.50043,240.8993181,240.8632964,240.827272,240.7912159,240.8993036,240.863278,240.8272261,240.7911649,242.1029709,240.8993181,239.6956654,240.7457907,240.8680739,240.8119527,240.7952273,803.9,240.8993303,240.8633045,240.7912346,40.90320406,29.74691659,22.20183356,0.101005129,-0.491728058,0.058650023,1.512720911,0.036025669,0.108138742,0.072113073,0.036061202,0.100980944,0.144026361,0.21615912,0.288416773,0.026715639,0.052911717,0.105352035,0.031092564,50.73207956,50.42523402,49.94424288,49.94296541,49.94528438,49.94424288,48.94098495,48.94098495,50.58984293,-49.88373836,1.153921697,1.154783163,240.9196181,21.61389246,0.519446321,ADANIENT,361.6575508
2021,1291.742857,1294.274629,1289.079989,1291.754404,85813.1099,1291.62145,1291.455293,1291.289225,1291.123179,1291.621465,1291.455321,1291.289116,1291.122827,1297.049949,1291.62145,1286.19295,1290.876189,1291.154759,1290.862084,1290.593535,159.8185984,1291.621463,1291.455274,1291.123143,40.26948064,29.5918225,22.42751776,0.465103173,1.525465545,3.721490094,5.120077428,0.166144516,0.49863861,0.332494094,0.166288763,0.465615521,0.664605284,0.996444589,1.328694548,0.037279786,0.074795819,0.149272279,0.048123818,51.37371006,51.16504462,51.18755318,51.18720253,51.18756755,51.18755318,49.1926647,49.19205629,51.56159019,-48.22125156,5.251655816,5.253004269,1291.703007,21.66730936,0.557068066,ADANIENT,1938.814623
2022,1762.205157,1765.065902,1759.140353,1762.179902,22816.3051,1762.158122,1762.132327,1762.105837,1762.076612,1762.158173,1762.131201,1762.102715,1762.07307,1768.229907,1762.158122,1756.086336,1761.89579,1761.497448,1761.052089,1760.566952,58.2,1762.157745,1762.132255,1762.078558,42.0675395,30.4345615,22.39961648,0.082597034,-0.44470706,0.618431132,0.891416232,0.026971322,0.085102858,0.058131536,0.029645346,0.083623124,0.102470588,0.161862745,0.234509804,0.004523398,0.00891968,0.019610519,0.004841563,50.33364154,50.2474187,50.95773562,50.95466571,50.97845599,50.95773562,49.78647761,49.75167755,51.4689925,-48.68506234,5.990036502,5.993333333,1762.128719,21.8428766,0.566828817,ADANIENT,2644.636078
2018,44.43226533,44.52891801,44.33205036,44.43040741,12421.9782,44.42827311,44.42560651,44.42295936,44.42030684,44.42827327,44.42561085,44.42293645,44.42023865,44.67240184,44.42827311,44.18414438,44.41486501,44.4365078,44.45681143,44.47511315,24.00978606,44.42827254,44.42560446,44.42030449,53.50437555,43.13433051,36.04718604,0.007453523,-4.236702887,-6.339285824,-6.142036076,0.002662416,0.008034619,0.005372213,0.00269787,0.007580874,0.010630566,0.015933054,0.021281605,0.022708954,0.044641434,0.089747515,0.020711434,49.59793373,49.52089723,35.75756154,35.75062349,35.76586445,35.75756154,46.53654181,46.53010349,38.46074555,-41.14188342,0.208007174,0.207923022,44.43045859,21.77895668,0.222184931,ADANIGREEN,66.69494319
2019,57.90571819,58.04864009,57.76347078,57.90783452,19073.50027,57.89423266,57.87722966,57.86021628,57.84320576,57.89423256,57.87722547,57.86021721,57.84321161,58.22015212,57.89423266,57.5683132,57.81793766,57.90350334,57.91013652,57.90652168,22.8,57.89423296,57.87723075,57.84320702,43.70199681,32.3180031,24.47404246,0.047627715,-5.040328622,-6.445981451,-6.778656045,0.017007092,0.051020946,0.034013854,0.017005596,0.047601664,0.068031131,0.102053523,0.136067723,0.042787267,0.084970047,0.169864385,0.052913699,50.45171969,50.11873315,47.22693153,47.23063321,47.22250165,47.22693153,47.60973264,47.6131677,49.26251053,-51.70680993,0.291073107,0.290988531,57.90664846,20.45213502,0.314977028,ADANIGREEN,86.93037548
2020,454.7070476,455.5128966,453.796168,454.7266463,21323.79814,454.6327792,454.5146535,454.3955757,454.2764623,454.6325655,454.5140973,454.3951919,454.2760623,456.7112397,454.6327792,452.5543186,454.1474966,454.5140122,454.5281328,454.5956445,22.8,454.6327826,454.5149153,454.2767621,51.5765902,41.79625162,33.76275221,0.333560392,-1.363969246,0.893345069,2.938086944,0.118468207,0.356503174,0.238034967,0.119129564,0.333674558,0.473576933,0.712208344,0.950443795,0.054972616,0.109332337,0.217593555,0.069150851,51.92648063,51.6523013,43.44355351,43.4420355,43.4453377,43.44355351,46.38178896,46.38144689,45.73120874,-39.87968485,1.782926936,1.786749934,454.6785703,21.73103011,0.394070729,ADANIGREEN,682.4109806
2021,1141.709921,1144.128957,1139.123645,1141.666091,15593.05209,1141.635771,1141.598321,1141.562052,1141.525892,1141.635915,1141.598998,1141.562617,1141.526546,1146.7081,1141.635771,1136.563443,1141.460777,1141.702034,1141.970273,1141.734613,22.8,1141.635791,1141.598091,1141.525491,45.33427579,33.50040167,25.15911442,0.101094302,-1.064970786,-0.856197157,-0.65099068,0.036916513,0.109368576,0.072452063,0.036070971,0.100850981,0.14808721,0.219835738,0.291724753,0.010011737,0.018788186,0.035895928,0.008573806,50.01041607,49.94229772,49.24510414,49.24437037,49.24652706,49.24510414,49.02560556,49.02520359,50.01689044,-48.22960959,5.096237356,5.095201816,1141.639564,20.67683491,0.402505464,ADANIGREEN,1713.690779
