year,quarter,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,ht_trendline,kama10,kama20,kama30,sar,trima5,trima10,trima20,adx5,adx10,adx20,apo,cci5,cci10,cci15,macd510,macd520,macd1020,macd1520,macd1226,mom10,mom15,mom20,roc5,roc10,roc20,ppo,rsi14,rsi8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ultosc,willr,atr,trange,typprice,ht_dcperiod,beta,company,average
2017,2,422.0803716,422.4493333,421.6808525,422.0655628,20474.96197,422.0711497,422.0776361,422.0845275,422.0915377,422.0710418,422.0778235,422.0846698,422.0915263,422.8818254,422.0711497,421.2604741,422.092253,422.0698541,422.1121744,422.103285,529.1,422.0711865,422.0776998,422.0913573,43.05408713,31.1573175,22.31140721,-0.019570268,-3.593866488,-3.234105669,-2.945281405,-0.006781611,-0.020484441,-0.013702829,-0.006856462,-0.019203245,-0.026852459,-0.041311475,-0.055431694,-0.002623417,-0.005229768,-0.010887455,-0.004534399,49.34667172,49.22298199,49.15850968,49.16083073,49.15869465,49.15850968,49.57247548,49.573099,49.92218317,-51.55461482,0.778416262,0.778699454,422.0652495,22.53668806,0.402695966,HCLTECH,633.2897596
2017,3,435.5585787,435.9553457,435.1454972,435.5532757,16265.01003,435.5487452,435.5421863,435.5357505,435.5294158,435.548563,435.5422034,435.5358392,435.5294776,436.4087051,435.5487452,434.6887853,435.4988066,435.5880588,435.5667694,435.6322699,529.1,435.5488335,435.5422439,435.5293488,44.36597453,32.67800455,23.77628812,0.017797422,-1.486096992,-2.239963861,-1.167400591,0.006359657,0.019085437,0.01272578,0.006361629,0.017863432,0.025490824,0.037772087,0.050533504,0.003426078,0.007035435,0.013977946,0.0041636,49.96693276,49.82246105,50.06381327,50.07348622,50.05299051,50.06381327,49.55483235,49.56539967,50.24175987,-50.55262936,0.820120007,0.820113103,435.5513729,22.61076661,0.445256143,HCLTECH,653.5280943
2017,4,437.3806736,437.785557,436.9508938,437.3785699,20935.34772,437.3742969,437.3697853,437.3641283,437.3575463,437.3743773,437.3689705,437.3628356,437.3564054,438.2201329,437.3742969,436.528461,437.3406553,437.3658054,437.3640425,437.300806,529.1,437.3741868,437.369831,437.3584094,41.80757987,30.28889745,22.17388884,0.018628035,-1.413526029,-0.487783671,0.18038153,0.005406844,0.017971976,0.012565132,0.006430278,0.017842392,0.020154785,0.03441247,0.050348812,0.002636029,0.005591833,0.013519707,0.004238041,50.05912282,49.78285761,50.17059589,50.16865194,50.18409829,50.17059589,49.01757248,48.99932235,51.06629702,-50.51086655,0.841764433,0.841835622,437.3716736,21.95710669,0.403701661,HCLTECH,656.2610039
2018,1,473.6450222,474.2204889,473.0501222,473.6520889,24887.21978,473.6353956,473.6139333,473.5931919,473.5729378,473.6353471,473.6144492,473.5939629,473.5735663,474.8930681,473.6353956,472.377723,473.5508728,473.6043956,473.5482193,473.5075114,529.1,473.6354545,473.6139352,473.572446,43.27814019,31.73680543,22.86317327,0.056381339,-1.899716971,-3.262095035,-4.009986515,0.020897863,0.061780773,0.040882911,0.020396584,0.057316092,0.083911111,0.1247,0.162666667,0.01013365,0.020190635,0.039305255,0.012150542,50.018689,49.64934388,50.56766333,50.57107143,50.55527083,50.56766333,49.00705891,49.0247919,51.24739136,-50.18469502,1.182221556,1.183755556,473.6409,23.02973038,0.490413969,HCLTECH,710.74555
2018,2,474.5047813,475.0473542,473.9308229,474.4828333,27496.0575,474.4913437,474.5024094,474.5132708,474.5242161,474.491415,474.5023412,474.513287,474.5242684,475.7034965,474.4913437,473.279191,474.5981047,474.5037586,474.4216627,474.4146996,391.7514167,474.4913289,474.5023545,474.5242152,41.02250966,28.97899393,21.23651828,-0.030609108,-2.003283356,-3.092774935,-2.928697423,-0.010926163,-0.032853372,-0.021927209,-0.010981379,-0.030793407,-0.043177083,-0.065520833,-0.087354167,-0.003430308,-0.006958283,-0.014175736,-0.00642656,49.67957903,49.42805072,48.71291803,48.70987282,48.71715919,48.71291803,48.34820626,48.33360521,49.07134671,-51.58886632,1.13351772,1.13084375,474.4870035,21.63007507,0.456522914,HCLTECH,712.0127656
2018,3,505.9491694,506.4367322,505.4350055,505.9427432,31198.46361,505.9076896,505.8635235,505.8192707,505.7749699,505.9076257,505.8633957,505.8188479,505.7739268,506.9518886,505.9076896,504.8634906,505.7330062,505.907258,505.7916598,505.6684678,353.2,505.9077124,505.8635763,505.7750345,39.34065303,28.55220391,21.04307082,0.124337957,1.733552671,2.506891521,4.748041669,0.044229995,0.133698915,0.08946892,0.044921088,0.126056978,0.176568306,0.265125683,0.354448087,0.018079197,0.036291765,0.072797121,0.024765659,51.54770998,51.21517363,51.62865011,51.63178751,51.62265405,51.62865011,49.87661803,49.88930688,51.08893677,-48.68338725,1.01481673,1.016306011,505.9381603,21.72350599,0.465971466,HCLTECH,759.154235
2018,4,501.2084774,501.957746,500.4503214,501.1932624,29351.69459,501.2203923,501.2547329,501.289833,501.325435,501.2205128,501.2553502,501.2909723,501.327199,502.8624818,501.2203923,499.5783028,501.4006938,501.2610892,501.1722301,501.1598081,353.2,501.2203878,501.2545948,501.3249137,42.10897973,31.41321336,23.30634018,-0.100044042,3.838068746,4.464593497,4.796488049,-0.034837329,-0.106686166,-0.071848837,-0.036226666,-0.1017034,-0.13814273,-0.209984486,-0.282734929,-0.011622981,-0.023675239,-0.048788537,-0.019506928,49.90854719,50.32148311,50.93877683,50.92778209,50.9478949,50.93877683,51.43299323,51.43530362,49.72125664,-48.73169564,1.528571522,1.527648493,501.2004433,21.86867068,0.524514856,HCLTECH,752.1829067
2019,1,505.7216989,506.2717634,505.1432796,505.7254516,24779.54645,505.6990366,505.6657495,505.6318882,505.5981774,505.6989647,505.6655556,505.6322808,505.5993063,506.8674849,505.6990366,504.5305882,505.5528394,505.7826999,505.789202,505.7650076,353.2,505.6990517,505.665872,505.5982424,41.19351437,29.39121829,21.12260921,0.093887855,0.755216126,0.364885703,1.806818324,0.033409144,0.099658451,0.066249307,0.032974543,0.092169135,0.134,0.201903226,0.267645161,0.013679688,0.027675697,0.055288177,0.018424815,50.81058553,50.75812658,51.46890369,51.47399561,51.46545554,51.46890369,50.26461815,50.26377468,51.55286434,-49.06767674,1.137130178,1.138634409,505.7134982,21.77576608,0.481117537,HCLTECH,758.8434032
2019,2,547.6509556,548.2452444,547.014,547.6456,26870.298,547.6506467,547.6571056,547.6640096,547.6701506,547.6506494,547.6569677,547.6625143,547.6671896,548.9358637,547.6506467,546.3654296,547.6618559,547.7525753,547.834735,547.9695206,353.2,547.6506213,547.6569874,547.6705001,41.12069837,28.98186102,20.73224028,-0.016281553,-0.989947113,0.354428975,1.491360245,-0.00631832,-0.016540207,-0.010221887,-0.004675225,-0.012686775,-0.026922222,-0.039255556,-0.047922222,-0.001504477,-0.003465128,-0.006024855,-0.003007879,49.86183659,49.79974595,51.03124709,51.03076469,51.03532609,51.03124709,50.24618945,50.23863546,51.49289132,-50.43682055,1.242904916,1.242466667,547.6349481,21.44188999,0.452458951,HCLTECH,821.7522444
2019,3,526.2267534,526.8665878,525.5701054,526.2238059,23978.3096,526.220469,526.216278,526.2108505,526.2048715,526.220462,526.2155531,526.2102763,526.2052265,527.5869512,526.220469,524.8539869,526.1270259,526.1893984,526.1438618,526.0599888,353.2,526.2204859,526.2163382,526.2055371,42.10841021,29.70791719,20.65872785,0.016601985,2.559645893,3.470554341,3.312687346,0.004908907,0.015235562,0.010326655,0.005049841,0.013535584,0.018018503,0.032271945,0.043599398,0.002436665,0.005234728,0.011508353,0.00311946,50.22084714,50.50080671,50.86732463,50.86633944,50.86383907,50.86732463,51.02061803,51.02611523,50.63931645,-49.02886773,1.302002599,1.303549914,526.2201664,21.91880502,0.482182928,HCLTECH,789.6516405
2019,4,558.7291556,559.2906028,558.1573471,558.7156582,27124.78081,558.7030009,558.6874557,558.6725384,558.6578707,558.7030536,558.6878585,558.6729293,558.657907,559.8478891,558.7030009,557.5581127,558.5895184,558.5949757,558.5989508,558.555897,353.2,558.7029567,558.6874357,558.6575403,41.10364205,29.95214414,21.54191174,0.040942956,-0.703829837,1.991072605,4.155152446,0.015195031,0.045146593,0.029951561,0.015022295,0.042472248,0.06200133,0.089616578,0.119636525,0.006255819,0.01238349,0.023903922,0.007388762,50.39703233,50.34007289,49.35564051,49.35112752,49.36672299,49.35564051,49.04872217,49.03052361,49.61946324,-50.14491957,1.14538442,1.143096188,558.7212027,21.8241472,0.44560234,HCLTECH,838.3692764
2020,1,558.8956572,559.8907493,557.8797509,558.8877564,64153.84157,558.9436898,559.0117664,559.0772255,559.1425424,558.9432529,559.0103096,559.0764093,559.1422856,561.1392463,558.9436898,556.7481334,559.1919636,559.0262634,558.9483892,558.9085697,353.2,558.943781,559.0123169,559.1433792,41.03365541,29.24991464,21.46200305,-0.182968413,-0.46637312,-0.516603367,-1.225689868,-0.067056716,-0.199032783,-0.131976067,-0.065876364,-0.184647834,-0.26905609,-0.398210548,-0.529300963,-0.022559965,-0.044985148,-0.090783279,-0.03618867,49.61073014,49.78822723,49.8035295,49.81531105,49.7865501,49.8035295,50.50166197,50.51710019,49.87394055,-50.00669777,2.053899899,2.05818334,558.8860855,21.77374494,0.473004105,HCLTECH,838.8306247
2020,2,523.3731299,524.3108701,522.4117514,523.3854576,71181.99571,523.3304136,523.263374,523.1993853,523.1359232,523.3308475,523.2651702,523.2008024,523.1368626,525.3182983,523.3304136,521.3425288,523.0463572,523.2030625,523.2731772,523.4094052,353.2,523.330298,523.2628407,523.1347367,41.20871117,29.68397005,21.66412328,0.177679849,0.914026936,5.008982667,7.579411065,0.065677264,0.193984859,0.128307595,0.063939724,0.179240395,0.264271186,0.389175141,0.515661017,0.030017615,0.057902938,0.112381966,0.035739738,51.372792,51.24159466,50.36616882,50.35830706,50.37860907,50.36616882,48.62350053,48.6085862,51.19139391,-48.37458713,1.931746588,1.928757062,523.3693597,21.528942,0.47900794,HCLTECH,785.5167458
2020,3,699.9004242,701.0000505,698.786798,699.9233737,112193.2558,699.8207737,699.6920495,699.5632209,699.4339793,699.8206859,699.6918037,699.5625713,699.4331376,702.1606982,699.8207737,697.4808493,699.3327557,699.6625616,699.3912939,699.1836856,353.2,699.8208726,699.6920269,699.4342721,41.91920478,31.08093785,22.79187387,0.362361759,1.113877096,3.82531742,5.975467934,0.128882155,0.387548305,0.25866615,0.129433773,0.362468727,0.514545455,0.773111111,1.033464646,0.039720622,0.07934891,0.15941847,0.05362246,51.54569426,51.32542056,50.71991437,50.72382716,50.70927517,50.71991437,49.23546015,49.25409289,51.13663684,-48.66249241,2.239957335,2.241030303,699.9034074,21.84749604,0.536379085,HCLTECH,1050.393449
2020,4,856.5193265,857.6867868,855.2344595,856.5016302,115811.4247,856.4433376,856.371805,856.3016066,856.2324775,856.4437118,856.3729394,856.3033376,856.2343222,858.9523268,856.4433376,853.9343485,856.0270882,856.5397275,856.5013292,856.6903188,353.2,856.4432939,856.3714661,856.2314734,40.63324063,29.51470062,21.68516933,0.193157443,-0.806259664,-0.666602432,1.469411958,0.070772429,0.209389621,0.138617192,0.069015382,0.193103722,0.28512441,0.422093522,0.558108108,0.017822583,0.035131156,0.068530862,0.022104153,50.72114997,50.39098399,50.90344595,50.89577747,50.91121401,50.90344595,48.90033594,48.89624,51.97733219,-50.01036273,2.48007311,2.482475332,856.4742921,21.92091542,0.568454302,HCLTECH,1285.304017
2021,1,969.3869527,970.7650495,967.8875468,969.3494719,91242.05105,969.3334675,969.3112937,969.2850642,969.2571909,969.3327468,969.3086039,969.2821897,969.2547551,972.2733761,969.3334675,966.393559,969.2231171,969.444393,969.3200178,969.427208,353.2,969.3333816,969.312249,969.2592799,39.68373678,28.31524803,20.55176768,0.077755,-0.774172119,-1.744941282,-0.905730018,0.024142894,0.077991704,0.05384881,0.02743453,0.077003203,0.09379538,0.152640264,0.210638064,0.005294679,0.011761205,0.025603962,0.008077416,50.5941696,50.52746818,50.89559299,50.90434519,50.89686928,50.89559299,49.81214981,49.79455432,50.93190804,-49.00546959,2.913483265,2.913938394,969.3340227,21.37326624,0.583830408,HCLTECH,1454.708823
2021,2,959.8704699,960.8989836,958.7842186,959.8678033,68837.19519,959.8671803,959.8677563,959.8707526,959.8746596,959.8675763,959.8692766,959.8721357,959.8754256,961.9755863,959.8671803,957.7587743,959.870818,959.8810991,959.8979063,959.9003637,353.2,959.8671931,959.8671945,959.8734428,38.08384148,26.85938267,19.07979914,-0.010442413,0.767904451,0.53983375,1.169617337,-0.001700332,-0.007849285,-0.006148954,-0.003289921,-0.009249014,-0.005234973,-0.014590164,-0.024065574,0.000778446,0.000660268,-0.000119569,-0.001035759,50.15604523,50.18915368,50.81236349,50.80589276,50.81962723,50.81236349,50.67701082,50.6794603,51.11925362,-49.53602711,2.140606253,2.137169399,959.8503352,21.56877386,0.536163092,HCLTECH,1440.291093
2021,3,1114.997185,1116.34563,1113.611101,1115.018349,65603.22307,1114.893733,1114.737504,1114.581904,1114.427061,1114.893661,1114.738047,1114.583047,1114.428404,1117.780798,1114.893733,1112.006669,1114.252769,1114.817344,1114.578304,1114.350355,353.2,1114.893774,1114.737579,1114.426442,39.1701541,27.94671216,20.73469034,0.433209877,2.782552458,5.248091691,7.404478414,0.155614011,0.46525659,0.309642579,0.15464226,0.432980195,0.624328042,0.932201058,1.241650794,0.028614038,0.057102426,0.113699467,0.03854087,51.79651029,51.69749114,51.26734572,51.27475773,51.25824719,51.26734572,49.35386163,49.36120583,51.34345989,-47.8647766,2.756719317,2.758973545,1114.991693,20.90575215,0.517661856,HCLTECH,1673.15118
2021,4,1197.927542,1199.375054,1196.370313,1197.898627,59887.72673,1197.881463,1197.859398,1197.835558,1197.811195,1197.881281,1197.8583,1197.834459,1197.810401,1200.964658,1197.881463,1194.798267,1197.944712,1197.811076,1197.712971,1197.757555,353.2,1197.881486,1197.859645,1197.812012,41.16746898,29.59891766,21.67680543,0.068392843,1.412092971,1.090960537,1.439957815,0.022981661,0.070880461,0.0478988,0.024058124,0.067090565,0.09011154,0.141259116,0.189221364,0.004199484,0.008706415,0.018054695,0.005292062,50.55101707,50.54842819,51.06472387,51.0663552,51.06170581,51.06472387,49.92236944,49.91947205,51.17337519,-48.74981373,3.048951298,3.048080223,1197.881331,22.05685846,0.54450859,HCLTECH,1797.56021
2022,1,1206.381706,1207.871431,1204.767118,1206.333745,64399.55451,1206.454404,1206.608492,1206.764603,1206.920448,1206.455179,1206.609687,1206.765142,1206.920891,1209.896584,1206.454404,1203.012224,1207.089286,1206.38372,1206.45869,1206.535329,353.2,1206.454147,1206.607782,1206.920028,42.01713533,30.78449302,22.93799277,-0.435977501,1.126641009,-1.432114842,-3.908663556,-0.154508112,-0.465712534,-0.311204422,-0.155748723,-0.436004684,-0.617490196,-0.931627451,-1.23872549,-0.023018191,-0.047038225,-0.094256031,-0.035054855,48.65826437,48.92554151,50.40662235,50.39671876,50.41977515,50.40662235,50.45864155,50.45258974,50.18390284,-50.00999278,3.184056681,3.185078431,1206.324098,22.04577094,0.510904702,HCLTECH,1810.25499
2018,3,1673.039305,1675.253002,1670.463108,1672.792363,14989.02128,1673.170289,1673.650194,1674.12962,1674.599629,1673.171768,1673.646538,1674.113378,1674.571523,1678.36141,1673.170289,1667.979168,1675.252929,1672.914679,1672.728596,1673.054584,1852.369681,1673.170468,1673.647254,1674.605538,45.56661074,36.31271511,30.2837978,-1.307518656,-15.13712332,-23.45441031,-28.40860224,-0.474770257,-1.399755077,-0.92498356,-0.458055386,-1.276944642,-1.922036474,-2.849791033,-3.760201368,-0.05820857,-0.118663707,-0.231627945,-0.083774326,45.61449768,45.3255305,46.3844685,46.3726142,46.38975106,46.3844685,48.51679167,48.51260942,48.60385807,-56.4731806,4.856442567,4.862462006,1672.836158,22.39237479,0.448240473,HDFCAMC,2510.484555
2018,4,1434.947651,1436.771853,1433.093418,1434.983588,2980.650709,1434.907159,1434.806037,1434.702385,1434.597914,1434.905896,1434.804487,1434.7028,1434.602418,1438.673938,1434.907159,1431.14038,1434.570012,1435.053312,1434.89035,1434.567636,1970,1434.907385,1434.807279,1434.599158,41.81231652,30.7184091,23.4591198,0.290116669,-2.677506799,-1.294813902,0.513756305,0.101408631,0.303477316,0.202068684,0.10038195,0.279714296,0.405496454,0.61285461,0.824058067,0.014888124,0.03078424,0.06205657,0.020498785,50.51463691,50.21191771,49.26143073,49.27253709,49.2521709,49.26143073,48.35843692,48.36215952,50.63302389,-51.3518006,3.760696176,3.746542553,1434.94962,20.51255733,0.440208958,HDFCAMC,2153.318562
2019,1,1435.17271,1436.602581,1433.65286,1435.183591,1213.271613,1435.169776,1435.154557,1435.140309,1435.1285,1435.170106,1435.155849,1435.14342,1435.132631,1437.997713,1435.169776,1432.34184,1435.152436,1435.308762,1435.560874,1435.584986,1970,1435.169455,1435.154428,1435.126796,40.36981171,28.80065495,21.04175965,0.033430452,-3.417489327,-4.298873143,-5.603935019,0.014257713,0.037475355,0.023217642,0.010789161,0.028956288,0.061333333,0.084451613,0.100903226,0.00262864,0.005035915,0.008629382,0.002211331,49.73239875,49.62998994,49.76656719,49.76098117,49.77484019,49.76656719,49.32088771,49.31834184,51.73340342,-51.80709717,2.980929877,2.980301075,1435.146344,20.6921114,0.333883233,HDFCAMC,2153.429011
2019,2,1707.517767,1709.5285,1705.412944,1707.608922,2281.276,1707.373978,1707.083212,1706.792996,1706.502304,1707.374702,1707.083586,1706.792493,1706.500723,1711.577779,1707.373978,1703.170176,1706.173989,1706.587249,1705.906415,1705.262026,1927.76,1707.373825,1707.082742,1706.502335,41.12082018,29.67978715,22.64344832,0.813756054,1.248657369,6.627650369,11.30584933,0.291116368,0.873979114,0.582862745,0.29176987,0.817762358,1.164677778,1.745166667,2.328577778,0.033725365,0.067021287,0.133847383,0.045641858,52.4347479,52.00027834,51.15921169,51.15395855,51.16336549,51.15921169,47.68619025,47.67343551,52.98707474,-47.81147892,4.172969223,4.173888889,1707.516789,20.35436045,0.334655905,HDFCAMC,2562.234972
2019,3,2317.176065,2320.91577,2313.303883,2317.21975,5910.087349,2316.902545,2316.501054,2316.095475,2315.691012,2316.901142,2316.499015,2316.095997,2315.692782,2325.07966,2316.902545,2308.725431,2315.038871,2316.295019,2316.503464,2316.577421,1250,2316.902919,2316.502033,2315.691667,42.1089902,31.95274092,24.72016438,1.130951829,-1.289310919,0.822793584,0.86683347,0.402126783,1.208359651,0.806232868,0.403214156,1.129614596,1.607433305,2.423461704,3.219847246,0.035299596,0.071361772,0.143326639,0.046926745,50.92915403,50.54883034,50.69521528,50.70530252,50.69040855,50.69521528,48.13576681,48.14060334,50.93249372,-49.42942849,7.704110463,7.719083477,2317.146468,21.4461312,0.499694439,HDFCAMC,3477.567712
